"species","breed_name","color","name","actual_card_num","sex","birth_date"
2,"МЕТИС","СЕРЫЙ ТАББИ БИК","СКАНИК",5607,3,20140910
1,"МЕТИС","ЧЕРНЫЙ КРАП","НОРА",5318,2,20060615
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ЧИНГИЗ",5317,1,20150704
2,"МЕТИС","СЕРЫЙ ТАББИ БИК","БАСЯ",5595,4,20000915
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","МАТИЛЬДА",5498,2,20150523
2,"МЕТИС","СЕРЫЙ ТАББИ","МАСЯ",5497,1,20150612
2,"МЕТИС","С/Т/П","ЛЕДИ",5606,4,20140610
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ВАСЯ",5495,1,20150312
2,"МЕТИС","ЧЕРНЫЙ","БАГИРА",5493,4,20040912
2,"МЕТИС","ЧЕРНЫЙ","ТЕМА",5488,1,20101010
2,"МЕТИС","КОЛОРПОИНТ","СИМОНА",5486,4,20150602
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МУСЯ",5316,4,20030615
2,"МЕТИС","ЧЕРНЫЙ","МУЛЬТИК",5603,3,20150412
2,"ПЕРСИДСКАЯ","ЧЕРЕПАХА","МАРТА",5409,2,20001215
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ШИНШИЛЛА","АСЯ",14975,2,20151001
2,"МЕТИС","БЕЛЫЙ","ТУСЯ",5774,4,20110412
2,"МЕТИС","РЫЖИЙ","ЛЕВА",5773,3,20140512
1,"ОВЧАРКА ВОСТОЧНО-ЕВРОПЕЙСКАЯ","ЗОНАРНО-РЫЖИЙ","БАРОН",5532,1,20011101
2,"СФИНКС КАНАДСКИЙ","РЫЖИЙ","КИРИЛЛ",5772,3,20150415
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЫЙ ТАББИ","МАСЯ",5476,2,20101214
2,"АБИССИНСКАЯ","ПОРОДНЫЙ","ЧУЧА",5771,2,20151025
1,"МЕТИС","ЧЕРНЫЙ","ЖУЖА",14538,2,20140901
2,"МЕТИС","СЕРЫЙ ТАББИ","ФАСОЛЬКА",14539,2,20140901
2,"МЕТИС","КРЕМОВЫЙ","ТОША",5482,1,20130412
2,"МЕТИС","РЫЖИЙ С БЕЛЫМ","МАРКИЗА",5601,2,20150512
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ФЕЛИКС",5596,1,20141225
2,"МЕТИС","СЕРЫЙ ТАББИ","СТИЛО",5767,3,20150509
2,"МЕТИС","БЕЛЫЙ","МАСЯНЯ",5592,2,19981012
1,"МЕТИС","ТРИКОЛОР","ЖУЛЯ",2879,2,20110615
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕПРАЧНЫЙ","КЭРРИ",5989,2,20140401
2,"МЕТИС","ЧЕРЕПАХ.ТАББИ","ЛАПА",5591,2,20150712
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","МИККИ",5766,1,20090301
1,"МЕТИС","ЗОЛОТИСТО-БЕЛЫЙ","ЛАЙМА",5765,2,20070515
1,"ПЕКИНЕС","ПЕСОК","ЧИПА",5764,2,20151110
2,"МЕТИС","СИЛТАББИПОЙНТ","МАРКИЗА",5763,4,20020615
2,"МЕТИС","РЫЖИЙ","ШАНЯ",5760,4,20150105
2,"МЕТИС","ЧЕРНО-БЕЛЫЙ","МЯУЛИК",5759,3,20120210
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","БАНДИ",5757,1,20150910
2,"МЕТИС","ЧЕРЕПАХОВ","ДЖЕСИКА",5756,4,20130612
2,"МЕТИС","РЫЖИЙ","КАТЯ",5754,4,20110212
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","БУСЯ",5753,2,20141222
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ШОКОЛОДНЫЙ","МАТИЛЬДА",14540,2,20141020
2,"МЕТИС","ЧЕРНЫЙ","КНИЖКА",5752,2,20110512
2,"МЕТИС","РЫЖИЙ","ПЕРСИК",5751,1,20150610
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ПАТРИК",5750,1,20151105
1,"ПЕКИНЕС","РЫЖИЙ","ПЕРСИК",5747,1,20110310
1,"МЕТИС","ЗОНАРНЫЙ","ГРАНД",5743,1,20080512
